"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1971221530953777260","Thu Sep 25 14:33:31 +0000 2025","0","jasa terbesar Purbaya sampai saat ini romantisasi orang lama berhenti di acara perpisahan kemarin doang gak tiba2 ada cerita kangen orang lama atau ada excuse berlebihan karena masih baru juga","1971221530953777260","","","in","","0","0","0","https://x.com/undefined/status/1971221530953777260","1760513188494454784",
"1971214202753909052","Thu Sep 25 14:04:23 +0000 2025","2","Kenapa Saraswati Mundur dari DPR Presiden RI Prabowo Subianto pada Senin (8/9/2025) melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan menggantikan Sri Mulyani Indrawati. Seusai dilantik Purbaya sempat mengomentari 17+8 Tuntutan Rakyat sebagai suara sebagian kecil rakyat https://t.co/MqvOCATEIJ","1971214202753909052","https://pbs.twimg.com/amplify_video_thumb/1971213676775620608/img/ob_SYXmwnsmGMLeZ.jpg","","in","","0","1","0","https://x.com/undefined/status/1971214202753909052","68930552",
"1971211218179518663","Thu Sep 25 14:04:12 +0000 2025","0","Paling bener emang insiatif pak purbaya untuk subsidi bahan pokok. MBG sebaiknya fokus di daerah 3T atau anak dengan keluarga miskin ekstrim. Sisanya kasih aja subsidi bahan makanan pokok gitu !!!!!","1971214155198902301","","SeNumishere","in","","0","0","0","https://x.com/undefined/status/1971214155198902301","1284102720333312002",
"1971213103850213815","Thu Sep 25 14:00:01 +0000 2025","0","Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa bicara soal oknum pegawai pajak yang disebut nakal. Ia pun menegaskan tak ingin ada pemerasan yang dilakukan oleh pegawai pajak. #detikfinance #Menkeu #Pajak #Pembayar https://t.co/5PxJaogaot","1971213103850213815","https://pbs.twimg.com/amplify_video_thumb/1971100002614435840/img/xp6kU4Q4zlk-llRV.jpg","","in","","0","2","0","https://x.com/undefined/status/1971213103850213815","135795460",
"1971212428617920934","Thu Sep 25 13:57:20 +0000 2025","15","Barusan nanya soal ini ke analis banking. Dia bilang justru dengan tema growth ini seharusnya kinerja perbankan akan membaik. Yang menjadi masalah adalah saat ini confidence pelaku usaha belum balik. Untuk itu tugasnya Pak Purbaya gimana caranya balikin confidence si pengusaha.","1971212428617920934","","","in","","0","1","2","https://x.com/undefined/status/1971212428617920934","1045531803203686400",
"1971137509758538065","Thu Sep 25 11:56:00 +0000 2025","0","@fdmncfdmnc guyonan ala pak purbaya","1971181893216510372","","fdmncfdmnc","in","","0","1","0","https://x.com/undefined/status/1971181893216510372","894892651",
"1971180556051415457","Thu Sep 25 11:50:41 +0000 2025","0","Menkeu Purbaya Pertanyakan Tarif Cukai Rokok Tinggi Ekonom Ingatkan Ancaman Pasar Gelap https://t.co/rgUap4q8gB","1971180556051415457","","","in","","0","0","0","https://x.com/undefined/status/1971180556051415457","227969034",
"1971178909116006715","Thu Sep 25 11:44:09 +0000 2025","0","Rupiah melemah cukup signifikan. Apakah pengaruh suntikan liquidasi Purbaya Effects .? Let's see how you handle it before overheat with inflation. https://t.co/LJXNCX3DIz","1971178909116006715","https://pbs.twimg.com/media/G1sIw8_aAAIzujj.jpg","","in","","0","0","0","https://x.com/undefined/status/1971178909116006715","1716130820690436096",
"1971023289364730149","Thu Sep 25 11:42:31 +0000 2025","0","@puzzwles Knp baru skrg saat Menkeu Purbaya yg katakan. 10 th ini kemana bae @DPR_RI saat menkeu mulyani kasir mulyono.","1971178498564948295","","puzzwles","in","","0","0","0","https://x.com/undefined/status/1971178498564948295","57200942",
"1971175468423684412","Thu Sep 25 11:30:28 +0000 2025","0","Kisah Dibalik Nama Purbaya Presiden RI Prabowo Subianto pada Senin (8/9/2025) melantik Purbaya Yudhi Sadewa sebagai Menteri Keuangan menggantikan Sri Mulyani Indrawati. Seusai dilantik Purbaya sempat mengomentari 17+8 Tuntutan Rakyat sebagai suara sebagian kecil rakyat yang https://t.co/f13NT6QpRk","1971175468423684412","https://pbs.twimg.com/amplify_video_thumb/1971175041619607552/img/S2dOQFmUGe8i8spI.jpg","","in","","0","0","0","https://x.com/undefined/status/1971175468423684412","68930552",
